epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,1981.95,1.02179,0.58657,0.85356,0.57647,0.44024,0.46042,0.28558,1.13595,0.81172,0.87653,0.002971,0.002971,0.002971
73,2008.93,1.0449,0.5926,0.85279,0.57505,0.4402,0.45965,0.28483,1.13462,0.80723,0.87679,0.002872,0.002872,0.002872
74,2036.26,1.02701,0.5794,0.85496,0.58142,0.44337,0.4624,0.28624,1.13234,0.80514,0.87678,0.002773,0.002773,0.002773
75,2063.23,1.00973,0.57795,0.84952,0.57633,0.44492,0.4622,0.28647,1.13661,0.8117,0.8772,0.002674,0.002674,0.002674
76,2090.4,1.01344,0.5702,0.85321,0.5801,0.44264,0.45927,0.28463,1.13678,0.81072,0.87696,0.002575,0.002575,0.002575
77,2118.31,1.01843,0.57497,0.85082,0.58939,0.4405,0.46262,0.28557,1.13633,0.80561,0.87791,0.002476,0.002476,0.002476
78,2145.3,1.00802,0.56872,0.85317,0.58593,0.44106,0.46186,0.28573,1.13405,0.80546,0.87827,0.002377,0.002377,0.002377
79,2172.35,1.00265,0.56888,0.84888,0.56718,0.4462,0.45998,0.28379,1.13504,0.8123,0.87784,0.002278,0.002278,0.002278
80,2199.47,1.0009,0.56484,0.84915,0.57995,0.44068,0.4605,0.28373,1.13474,0.81191,0.87758,0.002179,0.002179,0.002179
81,2226.98,0.99537,0.55833,0.84573,0.58146,0.44607,0.46274,0.28571,1.14142,0.81387,0.87834,0.00208,0.00208,0.00208
82,2254.24,1.00362,0.55805,0.84788,0.57663,0.44525,0.45991,0.28495,1.13184,0.81438,0.87722,0.001981,0.001981,0.001981
83,2281.95,0.97959,0.54553,0.84671,0.58012,0.4434,0.46215,0.28525,1.13688,0.81532,0.87797,0.001882,0.001882,0.001882
84,2309.04,0.98814,0.54751,0.84545,0.57707,0.44377,0.46184,0.28577,1.13571,0.81708,0.87692,0.001783,0.001783,0.001783
85,2336.25,0.99143,0.54665,0.84765,0.56843,0.44961,0.46104,0.28517,1.14122,0.81939,0.87815,0.001684,0.001684,0.001684
86,2363.87,0.97509,0.54004,0.84668,0.57334,0.44595,0.46146,0.28543,1.14067,0.81953,0.87744,0.001585,0.001585,0.001585
87,2391.15,0.97409,0.53788,0.84624,0.58067,0.44416,0.46209,0.2874,1.137,0.81714,0.87695,0.001486,0.001486,0.001486
88,2418.47,0.97222,0.53524,0.84544,0.58826,0.44,0.4639,0.28879,1.13427,0.81601,0.87694,0.001387,0.001387,0.001387
89,2446.68,0.98113,0.53536,0.84163,0.57319,0.44833,0.46193,0.28717,1.13767,0.82005,0.87697,0.001288,0.001288,0.001288
90,2473.92,0.98044,0.53741,0.84548,0.57383,0.44612,0.46062,0.28638,1.1373,0.8209,0.87768,0.001189,0.001189,0.001189
91,2502.12,0.95317,0.51145,0.84575,0.5689,0.44552,0.46007,0.28515,1.14036,0.8219,0.87873,0.00109,0.00109,0.00109
92,2529.72,0.9429,0.50104,0.84432,0.57659,0.44095,0.45766,0.28339,1.14223,0.82296,0.87929,0.000991,0.000991,0.000991
93,2557.9,0.96717,0.51274,0.84435,0.58135,0.43743,0.45776,0.28266,1.14622,0.82537,0.87995,0.000892,0.000892,0.000892
94,2584.78,0.94245,0.50333,0.83993,0.5851,0.43637,0.45749,0.28239,1.14681,0.82643,0.87949,0.000793,0.000793,0.000793
95,2611.89,0.9504,0.50294,0.84092,0.57146,0.44137,0.45743,0.28218,1.14672,0.82793,0.87988,0.000694,0.000694,0.000694
96,2638.8,0.93568,0.4968,0.84051,0.57605,0.44045,0.45784,0.28273,1.1457,0.82877,0.87966,0.000595,0.000595,0.000595
97,2665.67,0.93436,0.49259,0.83904,0.5787,0.43788,0.45723,0.28236,1.14619,0.83037,0.87989,0.000496,0.000496,0.000496
98,2692.69,0.94284,0.49105,0.84055,0.59028,0.43473,0.45721,0.28208,1.14817,0.83192,0.88032,0.000397,0.000397,0.000397
99,2719.5,0.92035,0.48226,0.83848,0.58359,0.43502,0.45626,0.28112,1.14841,0.8324,0.88057,0.000298,0.000298,0.000298
100,2747.02,0.91901,0.48553,0.8386,0.58091,0.4354,0.45573,0.28119,1.14854,0.83287,0.88045,0.000199,0.000199,0.000199
