epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,953.064,1.20326,0.7828,0.87958,0.51351,0.38493,0.39725,0.23689,1.22655,0.88701,0.88608,0.004258,0.004258,0.004258
60,969.221,1.1825,0.76051,0.88068,0.50628,0.38427,0.39375,0.23502,1.23148,0.88889,0.8885,0.004159,0.004159,0.004159
61,985.265,1.1948,0.77012,0.87941,0.5042,0.38717,0.39354,0.23404,1.24036,0.88972,0.88802,0.00406,0.00406,0.00406
62,1001.19,1.17925,0.76206,0.87618,0.50808,0.38798,0.39705,0.23611,1.23887,0.89174,0.88795,0.003961,0.003961,0.003961
63,1017.2,1.16747,0.7481,0.87489,0.49604,0.39189,0.3947,0.23605,1.23214,0.88731,0.88705,0.003862,0.003862,0.003862
64,1033.21,1.17649,0.76188,0.87547,0.49882,0.38914,0.39652,0.23783,1.22611,0.88449,0.88657,0.003763,0.003763,0.003763
65,1049.17,1.18289,0.7612,0.87848,0.51099,0.38344,0.39719,0.23803,1.22392,0.87992,0.88519,0.003664,0.003664,0.003664
66,1066.39,1.17734,0.75544,0.87413,0.51475,0.38242,0.39791,0.23924,1.22487,0.88178,0.88582,0.003565,0.003565,0.003565
67,1082.38,1.17527,0.75545,0.87563,0.50468,0.38897,0.39627,0.23773,1.22486,0.88754,0.88602,0.003466,0.003466,0.003466
68,1098.33,1.17894,0.74975,0.87391,0.50307,0.38739,0.39548,0.23814,1.222,0.88747,0.88617,0.003367,0.003367,0.003367
69,1114.33,1.16443,0.74189,0.86811,0.51817,0.38405,0.39729,0.23721,1.2286,0.88614,0.88548,0.003268,0.003268,0.003268
70,1130.4,1.15991,0.74168,0.87476,0.52028,0.38132,0.39439,0.2365,1.2326,0.89542,0.88801,0.003169,0.003169,0.003169
71,1146.43,1.16519,0.74306,0.87147,0.51567,0.38622,0.39642,0.23833,1.22129,0.88917,0.88427,0.00307,0.00307,0.00307
72,1162.39,1.15923,0.73218,0.87277,0.51728,0.38996,0.39911,0.23956,1.22797,0.88771,0.88513,0.002971,0.002971,0.002971
73,1178.38,1.18499,0.74276,0.87064,0.51667,0.38597,0.39568,0.23825,1.22505,0.89151,0.88518,0.002872,0.002872,0.002872
74,1194.33,1.1629,0.72627,0.87247,0.51298,0.3895,0.39712,0.23793,1.22591,0.88988,0.88559,0.002773,0.002773,0.002773
75,1210.36,1.15404,0.73296,0.86861,0.52354,0.38465,0.39734,0.23785,1.22498,0.88698,0.88576,0.002674,0.002674,0.002674
76,1226.41,1.15423,0.71967,0.87114,0.51715,0.38636,0.39821,0.23863,1.22882,0.88858,0.8867,0.002575,0.002575,0.002575
77,1242.42,1.15862,0.72536,0.86896,0.51556,0.3873,0.39966,0.2402,1.22676,0.88486,0.88632,0.002476,0.002476,0.002476
78,1258.41,1.15103,0.72125,0.87222,0.50785,0.38934,0.39732,0.23928,1.22632,0.88652,0.88639,0.002377,0.002377,0.002377
79,1274.18,1.14411,0.71908,0.86714,0.50858,0.38776,0.39683,0.23933,1.22409,0.8913,0.88619,0.002278,0.002278,0.002278
80,1289.96,1.14115,0.71633,0.86665,0.50016,0.39059,0.39506,0.23725,1.22292,0.89167,0.88637,0.002179,0.002179,0.002179
81,1305.7,1.14004,0.70959,0.86387,0.50804,0.38696,0.39459,0.23579,1.23019,0.89406,0.88721,0.00208,0.00208,0.00208
82,1321.64,1.14764,0.70803,0.86648,0.50439,0.3895,0.39461,0.23659,1.22607,0.89142,0.88699,0.001981,0.001981,0.001981
83,1337.6,1.12032,0.69544,0.86548,0.5068,0.39075,0.3952,0.23648,1.22836,0.89982,0.88634,0.001882,0.001882,0.001882
84,1353.54,1.13189,0.69711,0.86458,0.50078,0.39244,0.39444,0.23607,1.22707,0.8951,0.88621,0.001783,0.001783,0.001783
85,1369.52,1.14087,0.69882,0.86767,0.51554,0.38526,0.39661,0.23776,1.2253,0.89349,0.88587,0.001684,0.001684,0.001684
86,1385.32,1.11976,0.69201,0.86681,0.51139,0.38855,0.39702,0.23768,1.22785,0.89472,0.88639,0.001585,0.001585,0.001585
87,1401.24,1.11741,0.68756,0.86599,0.5113,0.39095,0.39658,0.237,1.22776,0.89798,0.886,0.001486,0.001486,0.001486
88,1417.23,1.11737,0.68248,0.86514,0.51252,0.38663,0.39579,0.23686,1.22948,0.89735,0.88694,0.001387,0.001387,0.001387
89,1433.15,1.13245,0.68856,0.86261,0.51622,0.38557,0.39638,0.23692,1.22792,0.898,0.88673,0.001288,0.001288,0.001288
90,1449.23,1.13246,0.69514,0.86661,0.51121,0.3828,0.3971,0.23746,1.23015,0.90039,0.88672,0.001189,0.001189,0.001189
91,1466.03,1.09153,0.65543,0.86414,0.51452,0.38298,0.39519,0.23691,1.22878,0.89784,0.88659,0.00109,0.00109,0.00109
92,1481.48,1.07678,0.64086,0.86249,0.51856,0.37761,0.39295,0.23536,1.22985,0.90044,0.88694,0.000991,0.000991,0.000991
93,1497.01,1.10492,0.65525,0.86293,0.51771,0.37826,0.39325,0.23502,1.23331,0.90415,0.88762,0.000892,0.000892,0.000892
94,1512.46,1.08076,0.64434,0.86025,0.49803,0.38521,0.39087,0.23372,1.23651,0.90779,0.88798,0.000793,0.000793,0.000793
95,1527.76,1.08972,0.64274,0.85994,0.50213,0.38495,0.39189,0.23431,1.23586,0.90878,0.88822,0.000694,0.000694,0.000694
96,1543.09,1.07437,0.63719,0.85999,0.5105,0.38307,0.39124,0.234,1.23722,0.90981,0.88887,0.000595,0.000595,0.000595
97,1558.5,1.07649,0.63164,0.85936,0.4988,0.38617,0.39132,0.23351,1.23741,0.91139,0.8889,0.000496,0.000496,0.000496
98,1573.8,1.08232,0.63446,0.86004,0.50307,0.38372,0.39146,0.23382,1.23797,0.91269,0.88885,0.000397,0.000397,0.000397
99,1589.05,1.06346,0.62281,0.85892,0.51258,0.38027,0.39188,0.23372,1.23729,0.91313,0.88862,0.000298,0.000298,0.000298
100,1604.45,1.06563,0.62506,0.85774,0.51358,0.3773,0.39092,0.23354,1.23759,0.91471,0.88853,0.000199,0.000199,0.000199
