epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2444.08,1.37185,0.99533,0.91775,0.43523,0.32643,0.32585,0.18915,1.34262,0.9856,0.90934,0.003961,0.003961,0.003961
63,2483.34,1.36383,0.9904,0.91331,0.42621,0.32672,0.32716,0.18951,1.34164,0.98521,0.90926,0.003862,0.003862,0.003862
64,2522.64,1.36897,0.9892,0.91606,0.42245,0.32379,0.3241,0.18915,1.34278,0.98951,0.90944,0.003763,0.003763,0.003763
65,2561.55,1.37334,0.9808,0.91343,0.42888,0.32594,0.3238,0.18755,1.33849,0.98324,0.90692,0.003664,0.003664,0.003664
66,2600.63,1.38268,0.9892,0.91452,0.42632,0.32548,0.32707,0.1905,1.33466,0.98305,0.90682,0.003565,0.003565,0.003565
67,2640.26,1.37092,0.98671,0.91249,0.42803,0.3318,0.32849,0.19032,1.33679,0.98183,0.90721,0.003466,0.003466,0.003466
68,2679.56,1.36707,0.97962,0.91528,0.43673,0.32694,0.32988,0.19111,1.33629,0.97869,0.90661,0.003367,0.003367,0.003367
69,2718.78,1.36437,0.97592,0.91003,0.42371,0.33232,0.32898,0.1908,1.33418,0.97756,0.90595,0.003268,0.003268,0.003268
70,2757.79,1.36184,0.97246,0.91329,0.42768,0.32759,0.32652,0.18884,1.33796,0.98086,0.90751,0.003169,0.003169,0.003169
71,2796.91,1.36867,0.97922,0.91306,0.43589,0.32452,0.3311,0.19226,1.33271,0.97484,0.90612,0.00307,0.00307,0.00307
72,2836.73,1.36119,0.96429,0.91165,0.43275,0.32905,0.33169,0.19274,1.33126,0.97259,0.90628,0.002971,0.002971,0.002971
73,2875.79,1.36315,0.9701,0.91174,0.42823,0.33101,0.33101,0.1926,1.32798,0.97391,0.90533,0.002872,0.002872,0.002872
74,2914.91,1.36645,0.96953,0.91047,0.42378,0.33095,0.33202,0.19282,1.33079,0.97506,0.90562,0.002773,0.002773,0.002773
75,2954.02,1.35769,0.96186,0.91154,0.42916,0.33075,0.33189,0.19278,1.32897,0.97207,0.90495,0.002674,0.002674,0.002674
76,2993,1.35734,0.95641,0.91067,0.4336,0.33388,0.33247,0.19286,1.3298,0.97272,0.90548,0.002575,0.002575,0.002575
77,3032.12,1.34685,0.95764,0.90822,0.44526,0.32783,0.33181,0.19323,1.33055,0.97184,0.90569,0.002476,0.002476,0.002476
78,3071.38,1.3481,0.95828,0.91026,0.43543,0.33263,0.33154,0.19358,1.32843,0.97256,0.90474,0.002377,0.002377,0.002377
